model,epoch,dataset,loss_type,loss
XGBoost,117,validation_0,mlogloss,0.1550324666968977
XGBoost,118,validation_0,mlogloss,0.1544234321934264
XGBoost,119,validation_0,mlogloss,0.15378967976410463
XGBoost,120,validation_0,mlogloss,0.15309059541116496
XGBoost,121,validation_0,mlogloss,0.15247319951370938
XGBoost,122,validation_0,mlogloss,0.1518375650607853
XGBoost,123,validation_0,mlogloss,0.1512321462950002
XGBoost,124,validation_0,mlogloss,0.1506078551349628
XGBoost,125,validation_0,mlogloss,0.14992848011627022
XGBoost,126,validation_0,mlogloss,0.14932512072304827
XGBoost,127,validation_0,mlogloss,0.14867456342588758
XGBoost,128,validation_0,mlogloss,0.14805582933123274
XGBoost,129,validation_0,mlogloss,0.1474644317221654
XGBoost,130,validation_0,mlogloss,0.14693057007313803
XGBoost,131,validation_0,mlogloss,0.14647248809898747
XGBoost,132,validation_0,mlogloss,0.14600849153478285
XGBoost,133,validation_0,mlogloss,0.14543880592590339
XGBoost,134,validation_0,mlogloss,0.14493568124247422
XGBoost,135,validation_0,mlogloss,0.14426597724525106
XGBoost,136,validation_0,mlogloss,0.1437484762412516
XGBoost,137,validation_0,mlogloss,0.14325971593562384
XGBoost,138,validation_0,mlogloss,0.14274905261283344
XGBoost,139,validation_0,mlogloss,0.14218438348607346
XGBoost,140,validation_0,mlogloss,0.14168074756263307
XGBoost,141,validation_0,mlogloss,0.14114861993595806
XGBoost,142,validation_0,mlogloss,0.1406782975685307
XGBoost,143,validation_0,mlogloss,0.14011305984486266
XGBoost,144,validation_0,mlogloss,0.13955807294572595
XGBoost,145,validation_0,mlogloss,0.13911172936544647
XGBoost,146,validation_0,mlogloss,0.13863061359237216
XGBoost,147,validation_0,mlogloss,0.1381682513823439
XGBoost,148,validation_0,mlogloss,0.13771726242882545
XGBoost,149,validation_0,mlogloss,0.137333405047974
XGBoost,150,validation_0,mlogloss,0.1369224666580153
XGBoost,151,validation_0,mlogloss,0.13656706120538809
XGBoost,152,validation_0,mlogloss,0.13606466849878554
XGBoost,153,validation_0,mlogloss,0.13563294401027526
XGBoost,154,validation_0,mlogloss,0.1352028247651404
XGBoost,155,validation_0,mlogloss,0.13468456871018014
XGBoost,156,validation_0,mlogloss,0.13430027554822718
XGBoost,157,validation_0,mlogloss,0.13389936810698988
XGBoost,158,validation_0,mlogloss,0.13350482808605024
XGBoost,159,validation_0,mlogloss,0.13306822530164478
XGBoost,160,validation_0,mlogloss,0.13270033013905577
XGBoost,161,validation_0,mlogloss,0.13232225400241485
XGBoost,162,validation_0,mlogloss,0.1319459884435671
XGBoost,163,validation_0,mlogloss,0.13145706427687504
XGBoost,164,validation_0,mlogloss,0.13110085996518345
XGBoost,165,validation_0,mlogloss,0.13076156944203188
XGBoost,166,validation_0,mlogloss,0.1303720364309271
XGBoost,167,validation_0,mlogloss,0.13006820995434115
XGBoost,168,validation_0,mlogloss,0.12974730530062517
XGBoost,169,validation_0,mlogloss,0.12931851353707755
XGBoost,170,validation_0,mlogloss,0.12895237881791255
XGBoost,171,validation_0,mlogloss,0.12855483291062178
XGBoost,172,validation_0,mlogloss,0.12817449956696178
XGBoost,173,validation_0,mlogloss,0.12787483751964057
XGBoost,174,validation_0,mlogloss,0.12753288566956283
XGBoost,175,validation_0,mlogloss,0.1271550252432365
XGBoost,176,validation_0,mlogloss,0.12686081781199254
XGBoost,177,validation_0,mlogloss,0.12656652081312383
XGBoost,178,validation_0,mlogloss,0.1262136073364077
XGBoost,179,validation_0,mlogloss,0.12590743233068524
XGBoost,180,validation_0,mlogloss,0.12557832585113782
XGBoost,181,validation_0,mlogloss,0.1251729589180276
XGBoost,182,validation_0,mlogloss,0.124810582674584
XGBoost,183,validation_0,mlogloss,0.12451011553746737
XGBoost,184,validation_0,mlogloss,0.12413808864850037
XGBoost,185,validation_0,mlogloss,0.12375865819404144
XGBoost,186,validation_0,mlogloss,0.12346498588184163
XGBoost,187,validation_0,mlogloss,0.12317411243311198
XGBoost,188,validation_0,mlogloss,0.12278404551497239
XGBoost,189,validation_0,mlogloss,0.12235075012349954
XGBoost,190,validation_0,mlogloss,0.12208953058993019
XGBoost,191,validation_0,mlogloss,0.12172955960725461
XGBoost,192,validation_0,mlogloss,0.12148471616549383
XGBoost,193,validation_0,mlogloss,0.12115806823816473
XGBoost,194,validation_0,mlogloss,0.12084307797544029
XGBoost,195,validation_0,mlogloss,0.12038533752357697
